Unnamed: 0,bollinger_buy,bollinger_lower,bollinger_sell,bollinger_upper,macd_buy,macd_ema_diff,macd_signal_line,market_cap,price,rolling_mean,rolling_mean_buy,rolling_mean_sell,rsi,rsi_buy,rsi_sell,snapped_at,total_volume
396.0,False,364.2381047036242,True,595.6440486297088,True,35.769553695469085,559.4967739189186,,621.1467,499.959499999999,False,True,90.81933386125641,False,True,2014-05-30,42271699.6374901
397.0,False,359.35439141210855,True,611.555008587891,True,39.068215883609135,571.697419135135,,620.5,509.17033499999917,False,True,90.51749697592008,False,True,2014-05-31,18656368.100835893
398.0,False,354.96498885254084,True,629.0569644807922,True,42.7758706933073,585.390275308108,,640.1617,519.2189199999991,False,True,91.95146222218031,False,True,2014-06-01,53565199.6792426
399.0,False,351.7127870491236,True,647.1342796175427,True,46.48941482405871,599.5942202464863,,656.41,530.1741699999992,False,True,92.60227030372806,False,True,2014-06-02,41153743.5514714
400.0,False,349.51178554745013,True,664.8969544525496,True,49.74325920200863,613.1490361971893,,667.3683,541.3302499999992,False,True,91.64469180253045,False,True,2014-06-03,37419432.1129867
401.0,False,352.1201181323828,False,676.4291018676169,True,49.636860817758475,618.7558889577514,,641.1833,551.1769149999992,False,True,81.53059890338136,False,True,2014-06-04,43722721.8564088
402.0,False,355.1178384186045,False,688.8538215813952,True,50.33731837063634,626.6247111662011,,658.1,561.8236649999992,False,True,80.14027766346263,False,True,2014-06-05,24809749.5691626
403.0,False,358.926225984181,False,699.000767349152,True,49.557023651430995,631.025768932961,,648.63,571.962499999999,False,True,76.71473044491627,False,True,2014-06-06,14032413.366677402
404.0,False,363.9972537095505,False,708.2194062904491,True,48.626491621837644,635.1622751463689,,651.7083,582.337249999999,False,True,77.4688423015045,False,True,2014-06-07,12954147.4969129
405.0,False,369.25592026795306,False,716.4544063987132,True,47.198906793844785,638.1094801170951,,649.8983,592.638664999999,False,True,71.23179960448249,False,True,2014-06-08,6819173.80315349
406.0,False,375.30777455033285,False,723.1625521163335,True,45.06445136685511,639.2685840936762,8290260777.375,643.905,600.6630799999991,False,True,67.33887782113172,False,False,2014-06-09,15165258.001682801
407.0,False,384.11484188640435,False,728.5403781135955,True,43.289564050930274,641.226207274941,8359493314.815,649.0567,608.6773299999992,False,True,72.05966571366953,False,True,2014-06-10,13698528.1037434
408.0,False,394.3247425187896,False,731.0535908145438,True,39.88838949798719,638.9883058199529,8116778557.0175,630.0367,614.0487499999991,False,True,64.81943036691666,False,False,2014-06-11,20706208.814386103
